Mode, N, Min_Time, Mean_Time, Cold_Run
scipy, 2, 0.000007, 0.000007, 0.000007
scipy, 4, 0.000007, 0.000007, 0.000007
scipy, 8, 0.000010, 0.000014, 0.000016
scipy, 16, 0.000007, 0.000007, 0.000007
scipy, 32, 0.000008, 0.000008, 0.000008
scipy, 64, 0.000013, 0.000016, 0.000017
scipy, 128, 0.000009, 0.000009, 0.000009
scipy, 256, 0.000011, 0.000011, 0.000011
scipy, 512, 0.000016, 0.000016, 0.000016
scipy, 1024, 0.000028, 0.000028, 0.000029
scipy, 2048, 0.000050, 0.000050, 0.000050
scipy, 4096, 0.000108, 0.000110, 0.000112
scipy, 8192, 0.000220, 0.000222, 0.000223
scipy, 16384, 0.000426, 0.000452, 0.000470
scipy, 32768, 0.000855, 0.000858, 0.000861
scipy, 65536, 0.001818, 0.001820, 0.001822
scipy, 131072, 0.004338, 0.004340, 0.004345
scipy, 262144, 0.009667, 0.009675, 0.009688
scipy, 524288, 0.022074, 0.022175, 0.022250
scipy, 1048576, 0.050168, 0.050348, 0.050697
scipy, 2097152, 0.133881, 0.134226, 0.134420
scipy, 4194304, 0.282488, 0.283489, 0.284220
pyfftw, 2, 0.000029, 0.000031, 0.000033
pyfftw, 4, 0.000029, 0.000031, 0.000034
pyfftw, 8, 0.000029, 0.000030, 0.000031
pyfftw, 16, 0.000028, 0.000031, 0.000033
pyfftw, 32, 0.000036, 0.000038, 0.000041
pyfftw, 64, 0.000039, 0.000044, 0.000055
pyfftw, 128, 0.000036, 0.000046, 0.000066
pyfftw, 256, 0.000066, 0.000081, 0.000109
pyfftw, 512, 0.000067, 0.000089, 0.000132
pyfftw, 1024, 0.000073, 0.000107, 0.000157
pyfftw, 2048, 0.000078, 0.000125, 0.000206
pyfftw, 4096, 0.000089, 0.000157, 0.000290
pyfftw, 8192, 0.000111, 0.000204, 0.000379
pyfftw, 16384, 0.000193, 0.000347, 0.000654
pyfftw, 32768, 0.000224, 0.000493, 0.001028
pyfftw, 65536, 0.000405, 0.000960, 0.002039
pyfftw, 131072, 0.000925, 0.002002, 0.004135
pyfftw, 262144, 0.002001, 0.004576, 0.009667
pyfftw, 524288, 0.005176, 0.005872, 0.007119
pyfftw, 1048576, 0.010527, 0.012635, 0.016391
pyfftw, 2097152, 0.027367, 0.031041, 0.036970
pyfftw, 4194304, 0.057008, 0.065073, 0.080725
